productID,Date,ProductName,Raw[kg/m^3],TargetWeight[gram],FinalWeight[gram],Per_Error[%],ServingCounter,MainSteeperMotor_STEPS[step],SubStepperMotor_STEPS[step],StepperCountFactor[degrees/step],StepperDataSheetsFactor[degrees/step],ARD_Steps[step],QFactor[%],FeedPercentage[%],Prev_Error_Per[%],MainSteeperMotor_Duration[sec],MainSteeperMotor_RPM[rev/min],SubSteeperMotor_Duration[sec],SubSteeperMotor_RPM[rev/min],DateTimeElements,day,month,year,MSM_Mass_Flow_Pitch[kg/Cyc],MSM_Mass_Flow_Deg[kg/Deg],MSM_Mass_Flow_Step[kg/Step],SSM_Mass_Flow_Pitch[kg/Cyc],SSM_Mass_Flow_Deg[kg/Deg],SSM_Mass_Flow_Step[kg/Step],PRACTICAL_VOL_RATIO_MSM_SSM,REQ_Vol_Total[kg/Cyc],Dynamic_Q,REQ_BOTH_VOL[kg/m^3],REQ_SECOND_VOL[kg/m^3],BOTH_VOL_FOR_PITCH[kg/m^3],REQ_STEP_BOTH[step],REQ_STEP_SECOND[step],REQ_MSM_STEPS[step],REQ_SSM_STEPS[step],M_Flow,V_Flow,TRUE_VOL_SSM_CYC[m^3/Cyc],TRUE_SSM_FACTOR_FILL<0-1>,TRUE_VOL_MSM_CYC[m^3/Cyc],TRUE_MSM_FACTOR_FILL<0-1>,MSM_Factor_FILL,SSM_Factor_FILL,Practicl_MSM_VOL_PITCH[m^3/Cyc],Practicl_SSM_VOL_PITCH[m^3/Cyc]
3806060924,7/5/2020,סוכר לבן 20,1587,20,20,4,7,91,141,8,5.625,95,65,100,0,10.315,8,10.319,12,3806060924,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.001794,0.000001,0.00000016,0.021843,0.000016,0.021843,0.25,0.25,187.5,1.875
3806060980,7/5/2020,סוכר לבן 20,1587,20,20,2,8,82,102,8,5.625,50,65,100,0,6.776,11,6.984,13,3806060980,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.001794,0.000001,0.00000016,0.021843,0.000016,0.021843,0.25,0.25,187.5,1.875
3806060996,7/5/2020,סוכר לבן 20,1587,20,20,2,9,97,143,8,5.625,74,65,100,0,10.929,8,11.141,12,3806060996,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.001794,0.000001,0.00000016,0.021843,0.000016,0.021843,0.25,0.25,187.5,1.875
3806061012,7/5/2020,סוכר לבן 20,1587,20,20,2,10,43,167,8,5.625,89,65,100,0,9.263,4,11.149,14,3806061012,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.001794,0.000001,0.00000016,0.021843,0.000016,0.021843,0.25,0.25,187.5,1.875
3806058320,7/6/2020,סוכר לבן 30,1587,30,32,2,3,105,178,8,5.625,102,68,106.666667,0,9.071,10,11.156,14,3806058320,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000019,90.444444,0.000017,0.000002,0.000189,0.090283,0.963383,0.090283,1.053666,0.001903,0.000001,0.00000006,0.00862,0.000006,0.00862,0.25,0.25,187.5,1.875
3806058373,7/6/2020,סוכר לבן 30,1587,30,30,2,4,102,289,8,5.625,172,68,100,0,15.955,6,19.303,14,3806058373,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000019,90.444444,0.000017,0.000002,0.000189,0.090283,0.963383,0.090283,1.053666,0.001903,0.000001,0.00000006,0.00862,0.000006,0.00862,0.25,0.25,187.5,1.875
3806058416,7/6/2020,סוכר לבן 30,1587,30,30,2,5,73,243,8,5.625,167,68,100,0,12.602,5,16.998,13,3806058416,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000019,90.444444,0.000017,0.000002,0.000189,0.090283,0.963383,0.090283,1.053666,0.001903,0.000001,0.00000006,0.00862,0.000006,0.00862,0.25,0.25,187.5,1.875
3806058518,7/6/2020,סוכר לבן 30,1587,30,30,2,6,138,220,8,5.625,150,68,100,0,11.575,11,15.763,13,3806058518,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000019,90.444444,0.000017,0.000002,0.000189,0.090283,0.963383,0.090283,1.053666,0.001903,0.000001,0.00000006,0.00862,0.000006,0.00862,0.25,0.25,187.5,1.875
3806044669,7/7/2020,סוכר לבן,1600,20,22,6,1,155,155,8,5.625,68,85,110,0,15.32,9,15.328,9,3806044669,10,8,2020,0.3,0.000833,0.004687,0.003,0.000008,0.000047,100,0.000012,90,0.000011,0.000001,0.000189,0.059406,0.666667,0.059406,0.726073,0.00161,0.000001,0.00000006,0.007931,0.000006,0.007931,0.25,0.25,187.5,1.875
3806044711,7/7/2020,סוכר לבן,1600,20,24,2,2,38,247,8,5.625,113,85,120,0,3.4,10,14.906,15,3806044711,10,8,2020,0.3,0.000833,0.004687,0.003,0.000008,0.000047,100,0.000012,90,0.000011,0.000001,0.000189,0.059406,0.666667,0.059406,0.726073,0.00161,0.000001,0.00000006,0.007931,0.000006,0.007931,0.25,0.25,187.5,1.875
3805859409,28/07/2020,מוצר 20,800,20,22,10,1,76,76,8,5.625,0,85,110,0,6.117,11,6.192,11,3805859409,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.003553,0.000004,0,0.03198,0.000024,0.03198,0.25,0.25,187.5,1.875
3805860414,28/07/2020,מוצר 20,800,20,20,2,1,103,109,8,5.625,0,85,100,0,8.623,11,9.276,11,3805860414,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.002156,0.000003,0,0.019407,0.000015,0.019407,0.25,0.25,187.5,1.875
3805861854,28/07/2020,מוצר 20,800,20,20,4,1,148,148,8,5.625,0,85,100,0,12.592,11,12.678,10,3805861854,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.001578,0.000002,0,0.014212,0.000011,0.014212,0.25,0.25,187.5,1.875
3805862180,28/07/2020,מוצר 20,800,20,20,2,1,93,96,8,5.625,0,85,100,0,7.783,11,8.106,11,3805862180,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.002467,0.000003,0,0.022208,0.000017,0.022208,0.25,0.25,187.5,1.875
3805862604,28/07/2020,מוצר 20,800,20,20,2,1,75,238,8,5.625,0,85,100,0,5.909,11,20.166,11,3805862604,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.002541,0.000003,0.00000019,0.025161,0.000019,0.025161,0.25,0.25,187.5,1.875
3805862711,28/07/2020,מוצר 20,800,20,20,2,2,82,85,8,5.625,0,85,100,0,7.58,10,7.87,10,3805862711,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.002541,0.000003,0.00000019,0.025161,0.000019,0.025161,0.25,0.25,187.5,1.875
3805862604,28/07/2020,מוצר 20,800,20,20,2,1,75,238,8,5.625,0,85,100,0,5.909,11,20.166,11,3805862604,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.002415,0.000003,0.00000018,0.02391,0.000018,0.02391,0.25,0.25,187.5,1.875
3805862711,28/07/2020,מוצר 20,800,20,20,2,2,82,85,8,5.625,0,85,100,0,7.58,10,7.87,10,3805862711,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.002415,0.000003,0.00000018,0.02391,0.000018,0.02391,0.25,0.25,187.5,1.875
3805862822,28/07/2020,מוצר 20,800,20,20,2,3,242,317,8,5.625,0,85,100,0,23.462,9,30.049,9,3805862822,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.002415,0.000003,0.00000018,0.02391,0.000018,0.02391,0.25,0.25,187.5,1.875
3805863101,28/07/2020,אבקת חלבון 20,800,20,20,2,4,85,88,8,5.625,0,85,100,0,7.994,10,8.282,10,3805863101,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.002415,0.000003,0.00000018,0.02391,0.000018,0.02391,0.25,0.25,187.5,1.875
3805863739,28/07/2020,מוצר 20,800,20,20,2,1,87,102,8,5.625,0,85,100,0,6.959,11,8.501,11,3805863739,8,8,2020,0.15,0.000417,0.002344,0.0015,0.000004,0.000023,100,0.000025,90,0.000022,0.000002,0.000189,0.118812,1.333333,0.118812,1.452145,0.002353,0.000003,0.00000016,0.021176,0.000016,0.021176,0.25,0.25,187.5,1.875
3806071862,28/07/2020,חלבון 30,600,30,36,2,1,260,344,8,5.625,84,66,120,0,22.431,10,23.064,14,3806071862,10,8,2020,0.1125,0.000313,0.001758,0.001125,0.000003,0.000018,100,0.00005,90.444444,0.000045,0.000005,0.000189,0.238797,2.548148,0.238797,2.786945,0.000419,0.000001,0.00000003,0.004606,0.000003,0.004606,0.25,0.25,187.5,1.875
3806071990,28/07/2020,חלבון 30,600,30,42,6,2,153,206,8,5.625,68,66,140,0,14.277,10,14.283,13,3806071990,10,8,2020,0.1125,0.000313,0.001758,0.001125,0.000003,0.000018,100,0.00005,90.444444,0.000045,0.000005,0.000189,0.238797,2.548148,0.238797,2.786945,0.000419,0.000001,0.00000003,0.004606,0.000003,0.004606,0.25,0.25,187.5,1.875
3806072057,28/07/2020,חלבון 30,600,30,30,2,3,497,746,8,5.625,308,66,100,0,36.235,12,54.751,12,3806072057,10,8,2020,0.1125,0.000313,0.001758,0.001125,0.000003,0.000018,100,0.00005,90.444444,0.000045,0.000005,0.000189,0.238797,2.548148,0.238797,2.786945,0.000419,0.000001,0.00000003,0.004606,0.000003,0.004606,0.25,0.25,187.5,1.875
3806072217,28/07/2020,חלבון 30,600,30,30,2,4,225,2102,8,5.625,838,66,100,0,54.624,3,145.2,13,3806072217,10,8,2020,0.1125,0.000313,0.001758,0.001125,0.000003,0.000018,100,0.00005,90.444444,0.000045,0.000005,0.000189,0.238797,2.548148,0.238797,2.786945,0.000419,0.000001,0.00000003,0.004606,0.000003,0.004606,0.25,0.25,187.5,1.875
3806072513,28/07/2020,חלבון 30,600,30,62,12,5,2019,2019,8,5.625,804,66,206.666667,0,148.075,12,148.085,12,3806072513,10,8,2020,0.1125,0.000313,0.001758,0.001125,0.000003,0.000018,100,0.00005,90.444444,0.000045,0.000005,0.000189,0.238797,2.548148,0.238797,2.786945,0.000419,0.000001,0.00000003,0.004606,0.000003,0.004606,0.25,0.25,187.5,1.875
3806073200,28/07/2020,חלבון 30,600,30,62,2,1,681,740,8,5.625,273,66,206.666667,0,48.968,13,53.37,13,3806073200,10,8,2020,0.1125,0.000313,0.001758,0.001125,0.000003,0.000018,100,0.00005,90.444444,0.000045,0.000005,0.000189,0.238797,2.548148,0.238797,2.786945,0.008838,0.000015,0.00000067,0.08975,0.000067,0.08975,0.25,0.25,187.5,1.875
3806073222,28/07/2020,חלבון 30,600,30,96,4,2,157,161,8,5.625,66,66,320,0,10.717,13,10.862,13,3806073222,10,8,2020,0.1125,0.000313,0.001758,0.001125,0.000003,0.000018,100,0.00005,90.444444,0.000045,0.000005,0.000189,0.238797,2.548148,0.238797,2.786945,0.008838,0.000015,0.00000067,0.08975,0.000067,0.08975,0.25,0.25,187.5,1.875
3806073687,28/07/2020,מוצר 40,1200,40,46,2,1,139,217,8,5.625,78,90,95,475,0.62,124,0.005,5,115,0,18.819,6,29.916,6,3805680996,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806074041,28/07/2020,מוצר 40,1200,40,46,4,2,258,258,8,5.625,105,90,95,475,0.62,124,0.005,5,115,0,33.027,7,34.096,7,3805681076,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806074395,28/07/2020,מוצר 40,1200,40,40,0,3,170,175,8,5.625,69,90,95,475,0.62,124,0.005,5,100,0,18.819,8,21.313,7,3805681169,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806074749,28/07/2020,מוצר 40,1200,40,46,2,1,139,217,8,5.625,78,90,95,475,0.62,124,0.005,5,115,0,18.819,6,29.916,6,3805680996,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806075104,28/07/2020,מוצר 40,1200,40,46,4,2,258,258,8,5.625,105,90,95,475,0.62,124,0.005,5,115,0,33.027,7,34.096,7,3805681076,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806075458,28/07/2020,מוצר 40,1200,40,40,0,3,170,175,8,5.625,69,90,95,475,0.62,124,0.005,5,100,0,18.819,8,21.313,7,3805681169,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806075812,28/07/2020,מוצר 30,1600,30,30,0,4,157,159,8,5.625,67,90,97,485,0.58,116,0.005,5,100,0,18.609,7,18.94,7,3805681278,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806076166,28/07/2020,מוצר 30,1600,30,32,2,5,107,116,8,5.625,42,90,97,485,0.58,116,0.005,5,106.666667,0,14.433,6,15.731,6,3805681313,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806076521,28/07/2020,מוצר 30,1600,30,30,0,6,166,166,8,5.625,66,90,97,485,0.58,116,0.005,5,100,0,19.866,7,20.039,7,3805681345,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806076875,28/07/2020,מוצר 40,1200,40,42,4,1,189,189,8,5.625,82,90,95,475,0.62,124,0.005,5,105,0,20.286,8,27.042,6,3805721026,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806077229,28/07/2020,מוצר 40,1200,40,40,0,2,156,156,8,5.625,67,90,95,475,0.62,124,0.005,5,100,0,11.316,12,18.998,7,3805721166,6,8,2020,,,,,,,,,,,,,,,,,,,,
3806077583,28/07/2020,מוצר 30,1600,30,30,0,1,518,537,8,5.625,0,90,97,485,0.58,116,0.005,5,100,0,72.363,6,75.002,6,3805807776,7,8,2020,,,,,,,,,,,,,,,,,,,,
3806077938,28/07/2020,מוצר 30,1600,30,34,0,1,152,155,8,5.625,0,90,97,485,0.58,116,0.005,5,113.333333,0,8.981,15,9.244,15,3805822842,7,8,2020,,,,,,,,,,,,,,,,,,,,
3806078292,28/07/2020,מוצר 20,800,20,26,4,1,103,103,8,5.625,0,90,99,495,0.54,108,0.005,5,130,0,6.059,15,6.067,15,3805824313,7,8,2020,,,,,,,,,,,,,,,,,,,,
3806078646,28/07/2020,מוצר 20,800,20,22,0,2,85,135,8,5.625,0,90,99,495,0.54,108,0.005,5,110,0,4.612,17,8.213,15,3805824330,7,8,2020,,,,,,,,,,,,,,,,,,,,
3806079000,28/07/2020,מוצר 30,1600,30,36,20,1,164,164,8,5.625,0,85,95,475,0.58,116,0.005,5,120,0,8.577,17,9.702,15,3805831043,7,8,2020,,,,,,,,,,,,,,,,,,,,
3806079355,28/07/2020,מוצר 20,800,20,20,2,1,110,111,8,5.625,0,85,20,100,0.025,5,0.005,5,100,0,16.101,6,16.358,6,3805838556,8,8,2020,,,,,,,,,,,,,,,,,,,,
3806079709,28/07/2020,מוצר 30,1600,30,30,2,1,158,172,8,5.625,0,86,18,90,0.035,7,0.005,5,100,0,37.201,3,41.111,3,3805841442,8,8,2020,,,,,,,,,,,,,,,,,,,,
3806080063,28/07/2020,מוצר 30,1600,30,40,2,1,265,341,8,5.625,0,86,18,90,0.035,7,0.005,5,133.333333,0,62.121,4,83.213,3,3805843038,8,8,2020,,,,,,,,,,,,,,,,,,,,
3806045012,05/08/20207,סוכר לבן,1587,40,42,8,1,203,203,8,5.625,102,87,105,0,14.272,13,14.488,13,3806045012,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000025,90.888889,0.000023,0.000002,0.000189,0.120968,1.224766,0.120968,1.345734,0.00248,0.000002,0.00000007,0.009523,0.000007,0.009523,0.25,0.25,187.5,1.875
3806045056,05/08/20207,סוכר לבן,1587,40,40,2,2,228,233,8,5.625,120,87,100,0,15.738,13,16.127,13,3806045056,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000025,90.888889,0.000023,0.000002,0.000189,0.120968,1.224766,0.120968,1.345734,0.00248,0.000002,0.00000007,0.009523,0.000007,0.009523,0.25,0.25,187.5,1.875
3806047815,10/8/2020,סוכר לבן,1587,30,32,2,1,232,237,8,5.625,108,86,106.666667,0,16.775,12,17.205,12,3806047815,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000019,90.444444,0.000017,0.000002,0.000189,0.090283,0.963383,0.090283,1.053666,0.00186,0.000001,0.00000006,0.007736,0.000006,0.007736,0.25,0.25,187.5,1.875
